Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OTE;Total des dépenses des administrations publiques (*);GF08;08 - Loisirs, culture et culte;FRA;France;13,198;13,200;13,891;14,886;15,942;17,467;19,873;21,678;23,243;23,950;25,633;27,615;28,803;29,881;30,942;32,119;32,948;33,566;34,693;34,042;32,437;32,040;33,081;33,732;35,443;33,879;36,149;38,465;41,417;43,068
OTE;Total des dépenses des administrations publiques (*);GF0801;08.1 - Services récréatifs et sportifs;FRA;France;3,828;3,759;4,054;4,531;4,809;5,367;6,203;7,079;7,888;8,254;8,899;9,567;10,131;10,383;10,879;11,468;11,948;12,256;12,813;12,480;12,050;11,855;12,310;12,520;13,525;12,681;13,353;14,802;15,728;15,569
OTE;Total des dépenses des administrations publiques (*);GF0802;08.2 - Services culturels;FRA;France;5,558;5,466;5,735;6,130;6,626;7,317;8,621;9,443;10,099;10,406;11,144;12,200;12,593;13,106;13,451;13,966;14,169;14,634;15,200;15,176;14,072;13,872;14,327;14,734;15,441;14,816;16,306;16,977;18,177;18,963
OTE;Total des dépenses des administrations publiques (*);GF0803;08.3 - Services de radiodiffusion, de télévision et d'édition;FRA;France;3,709;3,879;4,000;4,109;4,385;4,620;4,851;4,929;4,992;5,032;5,305;5,542;5,751;6,069;6,239;6,277;6,365;6,182;6,191;5,918;5,860;5,869;5,980;5,936;5,900;5,866;5,963;6,071;6,761;7,560
OTE;Total des dépenses des administrations publiques (*);GF0804;08.4 - Culte et autres services communautaires;FRA;France;0,103;0,097;0,102;0,117;0,121;0,163;0,198;0,227;0,265;0,259;0,284;0,306;0,328;0,323;0,370;0,406;0,426;0,445;0,488;0,465;0,432;0,438;0,459;0,477;0,495;0,463;0,463;0,539;0,641;0,744
OTE;Total des dépenses des administrations publiques (*);GF0805;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
OTE;Total des dépenses des administrations publiques (*);GF0806;08.6 - Loisirs, culture et culte n.c.a.;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,003;0,003;0,041;0,049;0,002;0,003;0,023;0,007;0,007;0,065;0,083;0,054;0,064;0,075;0,110;0,232
OTE;Total des dépenses des administrations publiques (*);GF09;09 - Enseignement;FRA;France;69,915;71,271;73,196;75,176;78,779;82,002;85,542;90,561;92,938;93,271;96,262;99,860;101,519;105,750;109,069;110,381;110,025;111,041;112,624;114,290;115,802;115,328;118,685;120,513;122,430;120,102;127,072;134,017;141,555;148,640
OTE;Total des dépenses des administrations publiques (*);GF0901;09.1 - Enseignement préélémentaire et primaire;FRA;France;18,147;18,617;18,944;19,439;20,682;21,387;22,192;23,385;23,918;24,045;24,715;25,346;25,808;26,720;26,840;27,514;28,142;25,263;29,360;30,349;30,383;30,756;32,401;32,995;33,835;33,714;35,093;36,978;39,317;42,176
OTE;Total des dépenses des administrations publiques (*);GF0902;09.2 - Enseignement secondaire;FRA;France;32,964;33,807;34,433;35,154;37,291;38,559;39,882;42,142;43,052;43,399;44,543;45,906;46,542;47,935;48,500;48,849;49,283;52,941;50,529;50,631;51,784;52,112;53,198;53,406;53,794;53,478;55,477;58,206;61,316;63,779
OTE;Total des dépenses des administrations publiques (*);GF0903;09.3 - Enseignement postsecondaire non supérieur;FRA;France;0,356;0,353;0,385;0,395;0,415;0,447;0,457;0,493;0,523;0,528;0,694;0,850;0,969;1,062;1,146;1,368;1,246;1,270;1,313;1,219;1,110;1,006;0,988;1,017;1,038;0,798;0,905;1,041;1,066;1,156
OTE;Total des dépenses des administrations publiques (*);GF0904;09.4 - Enseignement supérieur;FRA;France;6,803;6,556;6,896;7,176;7,003;7,541;7,795;8,606;8,873;8,543;8,828;9,115;8,796;9,733;10,193;11,051;10,957;10,352;9,782;9,983;10,083;9,892;10,099;10,615;11,031;10,584;11,336;12,430;13,222;12,308
OTE;Total des dépenses des administrations publiques (*);GF0905;09.5 - Enseignement non défini par niveau;FRA;France;3,603;3,767;4,082;4,245;4,138;4,474;5,235;5,060;5,389;5,472;5,980;6,533;7,167;7,457;8,474;8,121;6,999;7,232;7,443;7,506;7,740;6,945;7,102;7,217;6,942;6,432;8,047;8,637;8,402;8,622
OTE;Total des dépenses des administrations publiques (*);GF0906;09.6 - Services annexes à l'enseignement;FRA;France;6,968;7,048;7,313;7,587;8,021;8,387;8,749;9,511;9,796;9,946;10,130;10,703;10,885;11,487;12,583;12,506;12,640;13,295;13,524;13,937;14,110;14,009;14,296;14,658;15,191;14,496;15,591;16,125;17,647;20,023
OTE;Total des dépenses des administrations publiques (*);GF0907;09.7 - R-D dans le domaine de l'enseignement;FRA;France;0,003;0,001;0,002;0,003;0,001;0,002;0,002;0,002;0,002;0,002;0,003;0,003;0,003;0,004;0,004;0,030;0,028;0,026;0,026;0,030;0,037;0,029;0,013;0,011;0,010;0,006;0,005;0,004;0,011;0,000
OTE;Total des dépenses des administrations publiques (*);GF0908;09.8 - Enseignement n.c.a.;FRA;France;1,071;1,123;1,142;1,178;1,227;1,207;1,232;1,362;1,386;1,335;1,369;1,404;1,350;1,351;1,330;0,943;0,731;0,662;0,646;0,637;0,556;0,579;0,588;0,595;0,590;0,594;0,618;0,596;0,575;0,575
OTE;Total des dépenses des administrations publiques (*);GF10;10 - Protection sociale;FRA;France;267,063;273,877;283,261;289,419;300,591;306,255;320,703;335,867;352,631;368,050;381,700;401,939;424,131;438,453;460,562;473,419;488,800;505,953;518,323;528,086;535,237;545,630;557,070;566,236;582,386;631,373;622,635;632,030;657,931;693,029
OTE;Total des dépenses des administrations publiques (*);GF1001;10.1 - Maladie et invalidité;FRA;France;34,783;35,127;35,159;35,487;37,109;34,757;36,759;38,250;38,999;41,857;43,956;45,193;49,599;49,905;52,403;53,109;54,700;57,059;58,637;58,425;59,444;62,299;63,457;65,335;67,576;71,820;72,586;78,447;78,382;83,899
OTE;Total des dépenses des administrations publiques (*);GF1002;10.2 - Vieillesse;FRA;France;133,101;136,047;142,199;146,487;151,639;155,860;162,359;168,872;177,499;191,057;200,532;215,499;227,579;240,323;250,124;258,616;270,037;278,933;286,421;292,771;297,525;302,549;310,308;317,406;324,806;332,305;336,591;350,659;369,079;391,954
OTE;Total des dépenses des administrations publiques (*);GF1003;10.3 - Survivants;FRA;France;20,648;21,233;21,283;21,557;21,830;22,147;22,674;23,630;24,249;25,179;26,449;27,271;28,076;28,820;29,675;31,304;31,609;33,417;33,697;34,083;34,275;34,436;34,740;34,958;35,416;35,750;35,904;36,932;38,599;40,608
OTE;Total des dépenses des administrations publiques (*);GF1004;10.4 - Famille et enfants;FRA;France;33,378;33,965;34,839;34,626;35,595;37,184;38,734;39,377;40,732;41,985;42,830;44,942;48,713;49,276;50,429;50,709;51,851;53,335;54,305;55,186;54,784;54,320;55,005;54,900;55,363;56,119;57,859;61,134;64,228;66,711
OTE;Total des dépenses des administrations publiques (*);GF1005;10.5 - Chômage;FRA;France;21,799;23,493;24,071;24,411;25,964;26,131;27,006;30,318;34,342;35,147;34,258;33,106;32,126;31,003;35,503;37,589;37,691;39,268;40,847;41,475;42,106;43,523;43,615;44,108;44,881;75,086;58,373;44,181;45,854;48,521
OTE;Total des dépenses des administrations publiques (*);GF1006;10.6 - Logement;FRA;France;9,975;10,050;11,175;11,204;11,446;12,540;13,068;14,425;14,492;16,867;16,934;17,098;16,968;17,876;19,120;17,873;18,464;19,268;19,551;20,078;20,488;21,092;21,489;20,419;20,277;21,014;20,506;20,438;20,511;21,147
OTE;Total des dépenses des administrations publiques (*);GF1007;10.7 - Exclusion sociale n.c.a.;FRA;France;11,404;11,923;12,470;13,486;14,716;15,047;17,449;18,157;19,256;12,883;13,505;15,304;17,331;17,362;19,317;20,396;20,486;20,683;20,680;21,869;22,588;23,457;24,455;25,149;30,058;35,243;36,742;36,056;37,165;36,461
OTE;Total des dépenses des administrations publiques (*);GF1008;10.8 - R-D dans le domaine de la protection sociale;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
OTE;Total des dépenses des administrations publiques (*);GF1009;10.9 - Protection sociale n.c.a.;FRA;France;1,976;2,039;2,065;2,162;2,291;2,590;2,656;2,838;3,062;3,076;3,237;3,527;3,739;3,888;3,992;3,823;3,963;3,991;4,185;4,199;4,028;3,953;4,001;3,961;4,010;4,038;4,075;4,185;4,115;3,728
