Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y15T64;ESP;Espagne;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;14113916,000;14368567,000;14611023,000;14871785,000;15077001,000;15371270,000;15580187,000;15649568,000;15645190,000;15635294,000;15593498,000;15466408,000;15346825,000;15291997,000;15278465,000;15287609,000;15354662,000;15490300,000;15598675,000;15588773,000;15752623,000;15956557,000;16123372,000
Y_GE65;ESP;Espagne;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,566;14,472;14,295;14,158;14,210;14,106;14,124;14,325;14,621;14,906;15,180;15,587;15,975;16,240;16,484;16,721;16,933;17,111;17,256;17,562;17,788;18,036;18,302
Y_GE65;ESP;Espagne;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;16,963;16,872;16,692;16,560;16,597;16,472;16,479;16,665;16,951;17,229;17,486;17,889;18,280;18,540;18,782;19,007;19,207;19,380;19,524;19,846;20,062;20,298;20,581
Y_GE65;ESP;Espagne;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,272;19,191;19,016;18,898;18,923;18,786;18,786;18,955;19,227;19,494;19,728;20,122;20,510;20,764;21,000;21,212;21,398;21,566;21,708;22,044;22,248;22,472;22,772
Y_LT15;ESP;Espagne;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,473;14,481;14,473;14,457;14,528;14,582;14,696;14,846;14,957;15,063;15,136;15,155;15,144;15,100;15,022;14,927;14,774;14,548;14,308;14,003;13,746;13,409;13,041
Y_LT15;ESP;Espagne;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,827;13,848;13,857;13,871;13,948;14,014;14,134;14,261;14,350;14,431;14,478;14,478;14,454;14,404;14,322;14,226;14,073;13,856;13,626;13,335;13,085;12,765;12,420
Y_LT15;ESP;Espagne;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,145;15,135;15,110;15,058;15,123;15,162;15,270;15,443;15,578;15,712;15,812;15,853;15,858;15,819;15,746;15,655;15,502;15,266;15,016;14,697;14,433;14,079;13,687
Y15T64;ESP;Espagne;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,289;70,393;70,595;70,785;70,666;70,732;70,606;70,232;69,801;69,382;69,008;68,560;68,168;67,941;67,770;67,624;67,565;67,623;67,728;67,741;67,779;67,886;68,011
Y15T64;ESP;Espagne;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;66,901;66,961;67,127;67,230;67,129;67,200;67,080;66,784;66,423;66,075;65,794;65,400;65,036;64,832;64,678;64,563;64,530;64,578;64,666;64,621;64,667;64,762;64,808
Y15T64;ESP;Espagne;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;68,564;68,647;68,834;68,984;68,875;68,946;68,825;68,489;68,092;67,708;67,379;66,956;66,576;66,360;66,196;66,065;66,019;66,072;66,168;66,151;66,193;66,293;66,378
Y15T64;EST;Estonie;PS;Personnes;_T;Total;De 15 à 64 ans;933965,000;930255,000;926635,000;922260,000;915360,000;908660,000;904805,000;901230,000;896380,000;889264,000;880150,000;870656,000;861667,000;855750,000;850864,000;846537,000;845537,000;844767,000;842472,000;841403,000;853681,000;869205,000;871361,000
Y_GE65;EST;Estonie;PS;Personnes;_T;Total;65 ans et plus;215765,000;219565,000;223200,000;226505,000;229990,000;232885,000;233235,000;232630,000;232235,000;233324,000;236336,000;239918,000;244067,000;248337,000;252399,000;256429,000;260115,000;264025,000;268421,000;271394,000;274300,000;278957,000;283952,000
Y15T64;EST;Estonie;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;452505,000;451350,000;450205,000;448720,000;446045,000;443285,000;441875,000;440750,000;438955,000;436109,000;432428,000;428714,000;425344,000;423583,000;422397,000;421669,000;422821,000;424071,000;424375,000;425276,000;430846,000;437338,000;438778,000
Y_GE65;EST;Estonie;PS;Personnes;M;Sexe masculin;65 ans et plus;71210,000;72645,000;74005,000;75225,000;76465,000;77450,000;77465,000;77145,000;76955,000;77398,000;78634,000;80189,000;82009,000;83892,000;85667,000;87470,000;89287,000;91235,000;93406,000;94961,000;96329,000;98381,000;100739,000
Y_GE65;EST;Estonie;PS;Personnes;F;Sexe féminin;65 ans et plus;144555,000;146920,000;149195,000;151280,000;153525,000;155435,000;155770,000;155485,000;155280,000;155926,000;157702,000;159729,000;162058,000;164445,000;166732,000;168959,000;170828,000;172790,000;175015,000;176433,000;177971,000;180576,000;183213,000
Y15T64;EST;Estonie;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;481460,000;478905,000;476430,000;473540,000;469315,000;465375,000;462930,000;460480,000;457425,000;453155,000;447722,000;441942,000;436323,000;432167,000;428467,000;424868,000;422716,000;420696,000;418097,000;416127,000;422835,000;431867,000;432583,000
Y_GE65;EST;Estonie;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;11,089;11,391;11,680;11,944;12,213;12,429;12,460;12,422;12,407;12,505;12,741;13,027;13,342;13,629;13,882;14,124;14,324;14,541;14,824;15,022;15,042;15,147;15,482
Y_GE65;EST;Estonie;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,643;16,018;16,381;16,719;17,077;17,371;17,443;17,432;17,442;17,577;17,868;18,203;18,567;18,891;19,182;19,465;19,676;19,899;20,190;20,391;20,336;20,358;20,691
Y_GE65;EST;Estonie;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,609;20,044;20,467;20,868;21,302;21,663;21,774;21,793;21,833;22,007;22,352;22,739;23,155;23,524;23,864;24,204;24,452;24,705;25,024;25,249;25,121;25,052;25,388
Y_LT15;EST;Estonie;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;16,647;16,116;15,612;15,206;14,958;14,853;14,887;15,036;15,236;15,432;15,590;15,738;15,885;16,014;16,152;16,276;16,364;16,435;16,441;16,390;16,374;16,210;15,814
Y_LT15;EST;Estonie;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;15,083;14,621;14,177;13,813;13,580;13,479;13,518;13,664;13,852;14,035;14,190;14,347;14,504;14,655;14,809;14,933;15,040;15,145;15,197;15,199;15,194;15,032;14,669
Y_LT15;EST;Estonie;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;18,443;17,833;17,262;16,810;16,545;16,436;16,463;16,611;16,822;17,032;17,190;17,325;17,457;17,557;17,672;17,789;17,847;17,872;17,823;17,706;17,679;17,517;17,085
Y15T64;EST;Estonie;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,468;70,776;71,057;71,246;71,242;71,136;71,077;70,967;70,771;70,463;70,068;69,648;69,201;68,814;68,446;68,087;67,829;67,587;67,352;67,273;67,279;67,336;67,433
Y15T64;EST;Estonie;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,309;65,335;65,357;65,320;65,118;64,858;64,709;64,542;64,315;63,958;63,458;62,914;62,342;61,821;61,326;60,863;60,508;60,150;59,780;59,552;59,685;59,915;59,943
Y15T64;EST;Estonie;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,711;67,866;68,007;68,075;67,965;67,776;67,670;67,532;67,322;66,991;66,542;66,059;65,549;65,095;64,666;64,259;63,960;63,667;63,369;63,219;63,290;63,432;63,494
Y15T64;FIN;Finlande;PS;Personnes;_T;Total;De 15 à 64 ans;3478330,000;3483578,000;3488774,000;3499315,000;3507281,000;3518859,000;3536873,000;3547872,000;3549605,000;3539601,000;3524863,000;3508396,000;3491727,000;3475969,000;3463659,000;3451264,000;3437117,000;3426913,000;3419992,000;3417206,000;3423271,000;3445684,000;3474560,000
Y_GE65;FIN;Finlande;PS;Personnes;_T;Total;65 ans et plus;792969,000;805880,000;822069,000;836053,000;854942,000;871975,000;883646,000;901253,000;925738,000;960340,000;998916,000;1037372,000;1073966,000;1107245,000;1136537,000;1164643,000;1192077,000;1218057,000;1243604,000;1267486,000;1286775,000;1301938,000;1319092,000
Y15T64;FIN;Finlande;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;1757947,000;1760620,000;1763268,000;1768654,000;1772682,000;1778605,000;1787889,000;1793540,000;1794483,000;1789873,000;1782989,000;1775219,000;1767278,000;1760103,000;1755683,000;1751500,000;1745844,000;1742303,000;1740373,000;1740636,000;1746002,000;1758813,000;1774202,000
Y_GE65;FIN;Finlande;PS;Personnes;M;Sexe masculin;65 ans et plus;308899,000;316780,000;325929,000;333711,000;343975,000;353345,000;360403,000;370318,000;383522,000;401691,000;421721,000;441710,000;460844,000;478349,000;493662,000;508176,000;522229,000;535226,000;547952,000;560010,000;569795,000;577382,000;585666,000
Y_GE65;FIN;Finlande;PS;Personnes;F;Sexe féminin;65 ans et plus;484070,000;489100,000;496140,000;502342,000;510967,000;518630,000;523243,000;530935,000;542216,000;558649,000;577195,000;595662,000;613122,000;628896,000;642875,000;656467,000;669848,000;682831,000;695652,000;707476,000;716980,000;724556,000;733426,000
