Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D214H;Autres taxes sur des services déterminés;AUT;Autriche;EUR;Euro;315,34;334,46;297,77;319,41;378,09;378,96;392,70;377,40;363,05;394,89;450,40;443,88;451,23;458,07;494,34;521,12;498,23;508,78;446,65;545,12;635,72;715,49;791,54
D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;17934,47;17870,87;18553,08;19367,74;19687,72;20936,81;21853,87;22085,17;22675,01;23418,65;24509,40;24875,39;25372,33;26234,87;27322,14;28307,68;29287,31;30387,45;28168,73;30621,50;35496,47;37891,13;39259,11
D611;Cotisations sociales effectives à la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69;15386,99;15859,71;16562,44;17260,59;18091,21;18854,80;18947,29;19421,48;20302,11;21082,21;21921,96;22667,30;23378,50;24274,85;25285,31;26709,93;27826,35;27709,22;29184,45;31080,04;33441,57;36082,74
D51;Impôts sur le revenu;AUT;Autriche;EUR;Euro;29198,32;29421,75;30225,44;30395,44;31891,76;35150,65;38043,90;33623,51;34780,04;36795,82;38788,99;40581,19;42468,70;45571,61;42493,49;44477,66;48515,78;50676,78;45356,34;52733,96;60583,43;62469,19;65914,29
D214A;Droits d'accise et impôts de consommation;AUT;Autriche;EUR;Euro;5904,01;6236,45;6497,08;6486,92;6475,14;6905,13;6901,11;6778,59;7057,74;7600,22;7888,10;8039,82;8154,03;8516,66;8868,60;9077,39;8939,04;8801,18;8038,37;8967,84;7517,61;8083,54;8169,90
D51B;Impôts sur le revenu ou les bénéfices des sociétés non compris les gains de détention;AUT;Autriche;EUR;Euro;5246,72;5200,24;5607,00;5766,12;5963,71;7069,37;7467,54;5113,86;5810,43;6470,01;6679,43;7240,44;7273,00;7941,39;8632,72;9362,68;10695,73;10981,57;8380,20;11487,06;15664,68;15920,89;15433,79
ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;64770,72;65516,65;67510,20;68658,07;71109,35;76557,42;81144,71;77243,41;79664,33;83930,32;88035,88;91300,89;94076,41;98615,86;97568,91;100562,75;105885,97;109733,40;101075,10;113356,51;125734,77;131553,41;136895,38
D214C;Impôts sur les opérations financières et les opérations en capital;AUT;Autriche;EUR;Euro;501,93;528,42;565,66;629,20;764,09;790,78;740,57;713,96;828,10;831,46;1024,70;857,67;945,34;1116,06;1126,53;1109,98;1210,07;1317,81;1320,03;1656,59;1693,92;1177,42;1116,03
D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;AUT;Autriche;EUR;Euro;8300,99;8732,35;9070,95;9012,74;9340,94;9822,30;9837,46;9711,01;10055,98;10758,71;11269,45;11231,99;11477,74;12040,84;12506,59;12705,06;12749,23;12756,29;11903,05;13392,08;12134,38;12434,88;12807,50
ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;96886,60;98445,56;101744,57;104242,03;108217,22;115301,50;121631,73;118210,64;121428,50;127625,14;133337,61;138541,67;142839,00;148995,78;149831,03;154928,91;163024,85;169302,99;160630,05;176185,48;192173,51;202927,87;213909,40
