Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2004;D59A;Impôts courants sur le capital;AUT;Autriche;EUR;Euro;0,00
2004;D995G;Impôts en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D995D;Autres impôts courants dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2004;D2122F;Bénéfices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0,00
2004;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0,00
2004;D995;Transferts en capital des administrations publiques vers les secteurs concernés correspondant à des impôts et contributions sociales notifiés mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0,00
2004;D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;4535,82
2004;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;79,60
2004;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;469,03
2004;D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;AUT;Autriche;EUR;Euro;15859,71
2004;D59;Autres impôts courants;AUT;Autriche;EUR;Euro;1906,49
2004;D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;AUT;Autriche;EUR;Euro;101971,72
2004;D91A;Impôts sur les transferts en capital;AUT;Autriche;EUR;Euro;154,38
2004;D29C;Impôts sur la masse salariale ou les effectifs employés;AUT;Autriche;EUR;Euro;5721,43
2004;D61N;Cotisations sociales effectives des employeurs et des ménages;AUT;Autriche;EUR;Euro;34461,52
2004;ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;101744,57
2004;D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;AUT;Autriche;EUR;Euro;9070,95
2004;D51B;Impôts sur le revenu ou les bénéfices des sociétés non compris les gains de détention;AUT;Autriche;EUR;Euro;5607,00
2004;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;67510,20
2004;D214C;Impôts sur les opérations financières et les opérations en capital;AUT;Autriche;EUR;Euro;565,66
2004;D51;Impôts sur le revenu;AUT;Autriche;EUR;Euro;30225,44
2004;D214A;Droits d'accise et impôts de consommation;AUT;Autriche;EUR;Euro;6497,08
