Année;Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;Valeur_Mesurée
2016;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,716
2016;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,016
2016;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,817
2016;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,516
2016;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,138
2017;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2921029,000
2017;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;930942,000
2017;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2966029,000
2017;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;704933,000
2017;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1635875,000
2017;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5887058,000
2017;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,307
2017;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,609
2017;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,837
2017;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,421
2017;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,781
2017;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,083
2017;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,611
2017;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,382
2017;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;66,970
2018;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2927913,000
2018;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;940989,000
2018;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2972134,000
2018;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;717346,000
2018;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1658335,000
2018;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5900047,000
2018;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,509
2018;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,774
2018;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,966
2018;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,432
2018;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,797
